Nombre del Producto,Tipo de Producto,Categoría,Unidad de Medida,Proveedor,Stock Actual,Stock Mínimo,Costo por Unidad,Cantidad Mínima a Comprar,Fecha Última Compra,Último Costo (Precio Anterior),Precio de Venta
MINIMAT,storable,Materiales,ROLLO 50 M,CASTILLO,2.0,1.0,45.0,6.0,19/09/2025,45.0,
RELLENO DE FIBRA SILICONADA,storable,Materiales,UNIDAD,CASTILLO,8.0,5.0,24.0,16.0,13/01/2026,34.0,
POP BLANCO,storable,Materiales,ROLLO POR KG,CASTILLO,1.0,0.0,78.0,3.0,20/03/2025,5.2,
PAQ DE TIZAS PARA TELA,storable,Materiales,PAQ 10 UNIDADES,CASTILLO,1.0,0.0,3.6,2.0,13/01/2026,2.52,
CIERRE BLANCO N4 (S/SLIDER),storable,Materiales,METRO,CASTILLO,70.6,20.0,0.2967946181,100.0,,,
CIERRE BLANCO N5 (C/SLIDER),storable,Materiales,METRO,CASTILLO,85.7,20.0,0.28,100.0,31/01/2026,21.76,
HILO GRIS CLARO 727 ** (6396),storable,Materiales,UNIDAD,JHONNY CASTILLO,6.0,2.0,10.07,6.0,28/01/2026,9.5,
HILO KAKI LATE ** (6101),storable,Materiales,UNIDAD,JHONNY CASTILLO,8.0,2.0,10.07,6.0,28/01/2026,9.48,
HILO AMA GOLD 710,storable,Materiales,UNIDAD,JHONNY CASTILLO,11.0,2.0,1.89651761,6.0,,,
HILO GRIS OSCURO ROCA **(6128),storable,Materiales,UNIDAD,JHONNY CASTILLO,6.0,2.0,10.07,6.0,28/01/2026,12.27,
HILO BEIGE INDIO **(6145),storable,Materiales,UNIDAD,JHONNY CASTILLO,1.0,2.0,12.6,12.0,13/01/2026,12.27,
HILO MARRÓN CLARO,storable,Materiales,UNIDAD,JHONNY CASTILLO,2.0,2.0,10.07,6.0,28/01/2026,12.27,
HILO MARRÓN OSCURO **(8098),storable,Materiales,UNIDAD,JHONNY CASTILLO,6.0,6.0,10.07,6.0,28/01/2026,0.0,
HILO NEGRO (N),storable,Materiales,BOBINA GRANDE,JHONNY CASTILLO,6.0,1.0,9.2,1.0,18/10/2025,9.48,
HILO BLANCO ** (B),storable,Materiales,BOBINA GRANDE,JHONNY CASTILLO,6.0,1.0,9.2,1.0,18/10/2025,9.48,
GUATA F-10,storable,Materiales,ROLLO 30M,MUEBLE HOGAR,0.0,0.0,75.0,2.0,03/11/2025,7530.0,
CIERRE NEGRO N6,storable,Materiales,METRO,HERRAJES DEL ORIENTE,103.1,20.0,0.22,100.0,16/05/2025,22.26,
SLIDER PLATEADO,storable,Materiales,UNIDAD,HERRAJES DEL ORIENTE,37.0,20.0,0.22,100.0,24/10/2025,0.15,
SLIDER DORADO,storable,Materiales,UNIDAD,HERRAJES DEL ORIENTE,57.0,20.0,,100.0,16/05/2025,15.42,
SLIDER NEGRO,storable,Materiales,UNIDAD,HERRAJES DEL ORIENTE,65.0,20.0,,100.0,16/05/2025,0.06,
"CIERRE MÁGICO HEMBRA BLANCO 1""",storable,Materiales,METRO,HERRAJES DEL ORIENTE,13.0,,,,,,
"CIERRE MÁGICO MACHO BLANCO 1""",storable,Materiales,METRO,HERRAJES DEL ORIENTE,19.0,,,,,,
"CIERRE MÁGICO HEMBRA NEGRO 2""",storable,Materiales,METRO,HERRAJES DEL ORIENTE,22.5,,,,,,
"CIERRE MÁGICO MACHO NEGRO 2""",storable,Materiales,METRO,HERRAJES DEL ORIENTE,22.5,,,,,,
CIERRE CHAQUETA,storable,Materiales,UNIDAD,HERRAJES DEL ORIENTE,6.0,,,,,,
CARTON 1 EN KG,storable,Materiales,UNIDAD,MANTECO,20.0,3.0,4.0,20.0,28/11/2025,3.0,
"CHAPAFORTE RETAZOS| 0,88*1,16",storable,Materiales,LÁMINA,CHARLES,6.0,2.0,5.0,10.0,,,
MDF 244*183 #9,storable,Materiales,LÁMINA,CHARLES,7.0,1.0,30.0,6.0,30/01/2026,46.13,
MDF 244*183 #5.5,storable,Materiales,LÁMINA,CHARLES,8.0,2.0,23.0,6.0,30/01/2026,21.0,
THINNER SELLADO,storable,Materiales,GALÓN,CHARLES,6.5,1.0,10.0,6.0,04/12/2025,10.0,
HERRAJE SOFÁCAMA C-14,storable,Materiales,PAR,CRISTIAN,4.0,1.0,11.0,,,11.0,
HERRAJE DE SOFÁCAMA GRANDE,storable,Materiales,UNIDAD,CRISTIAN,0.0,1.0,10.0,,,,
HERRAJE CLICK CLACK,storable,Materiales,PAR,SHERATON,2.0,1.0,9.52,3.0,28/06/2025,9.52,
NYLON AZUL (CUALQUIER COLOR),storable,Materiales,ROLLO,CHINOS,3.0,0.0,3.0,10.0,29/07/2025,3.5,
AGUJAS DE MÁQUINA DB X 1 100/16 1738 (CUALQUIER TELA),storable,Materiales,PAQUETE,CENTRO,3.0,,6.0,3.0,28/01/2026,6.0,
AGUJAS DE MÁQUINA DLX1 16X231 18/110 (TELA GRUESA),storable,Materiales,PAQUETE,CENTRO,1.0,,,,,,
AGUJAS DE MÁQUINA #16 16 X 257 1738 (SEMI-CUERO),storable,Materiales,PAQUETE,CENTRO,0.0,,,,,,
"AGUJAS DE MÁQUINA DLX1 71X1 NM 130/21 (TERCIOPELO, O/TELAS)",storable,Materiales,PAQUETE,CENTRO,1.0,,,,,,
